ID_DE_RESPUESTA,FECHA,DURACIÓN_SEGUNDOS,Duración en minutos (calculado),COLONIA,ESTRATO_SOCIAL,CONTEXTO_DE_RESIDENCIA,V1,V2,V3,V4,V5,V6,V7,V8.A,V8.B,V8.C,V8.D,V8.E,V8.F,V8.G,V8.H,V8.I,V9.A,V9.B,V9.C,V9.D,V9.E,V9_OTRA,V9_OTRA_TEXTO,V10,V10_OTRA,V11,V12,V13,V14,V15,V16,V17,V17_OTRA,V17_OTRA_TEXTO,V18,V19,V20.A,V20.B,V20.C,V20.D,V20.E,V20.F,V20.G,V20.H,V20.I,V20.J,V21.A,V21.B,V21.C,V21.D,V21.E,V21.F,V22.A,V22.B,V22.C,V22.D,V22.E,V22.F,V22.G,V22.H,V22.I,V22.J,V22.K,V22.L,V22.M,V22.N,V22_OTRA,V22_OTRA_TEXTO,V23.A,V23.B,V23.C,V23.D,V23.E,V23.F,V23.G,V23.H,V23.I,V23.J,V23.K,V24,V24_TEXTO,V25,V26.A,V26.B,V26.C,V27,V28.A,V28.B,V28.C,V28.D,V28.E,V29,V30.A,V30.B,V31,V31_OTRA,V32,V33,V34,V35.A,V35.B,V36,V37,V37_ENFERMEDADES,V38,V39,V40.A,V40.B,V40.C,V40.D,V40.E,V40.F,V40.G,V40.H,V40.I,V41,V42,V43,V44,V44_OTRA,V45,V46,V47.A,V47.B,V47.C,V47.D,V47.E,V48,V49,V50,V51.A,V51.B,V51.C,V51.D,V52,V52_TEXTO,V53.A,V53.B,V53.C,V53.D,V53.E,V53.F,V53.G,V53.H,V54.A,V54.B,V54.C,V54.D,V54.E,V54.F,V55.A,V55.B,V55.C,V56.A,V56.B,V56.C,V56.D,V56.E,V56.F,V56.G,V56.H,V56.I,V57,V58.A,V58.B,V58.C,V58.D,V58.E,V59.A,V59.B,V59.C,V59.D,V59.E,V59.F,V59.G,V59.H,V59.I,V59.J,V59.K,V59.L,V59_OTRA,V59_OTRA_TEXTO,V60.A,V60.B,V60.C,V61.A,V61.A_TEXTO,V61.B,V61.B_TEXTOS,V62,V62_TEXTO,V63,V63_OTRA,V64,V65.A,V65.B,V65.C,V65.D,V65.E,V65.F,V65.G,V66.A,V66.B,V66.C,V66.D,V66.E,V66.F,V66.G,V66.H,V66.I,V66.J,V66.K,V66.L,V66.M,V66.N,V67,V67_OTRA,V68,V69,V70,V71,V72.A,V72.B,V72.C,V72.D,V72.E,V73.A,V73.B,V73.C,V73.D,V74,N1.A,N1.B,N1.C,N1.D,N1.E,N1.F,N1,NS_2018,NS_2018_E,N2.A,N2.B,N2.C,N2.D,N2.E,N2.F,N2.G,N2.H,N2,NS_2011,NS_2011_E,V75_RECHAZOS,V75_INCOMPLETOS,V75_NO_CONTACTOS,V75_NO_ELEGIBLES,MUNICIPIO,RANGO_EDAD,SEXO,POND
53615789,9/4/21 9:16,1925,64.2,LOS MOLINOS,3,4,5,4,4,2,5,5,2,5,5,2,4,5,2,1,3,1,1,1,0,0,0,99,99,1,99,12,2,2,4,99,1,1,99,99,99,4,2,1,2,1,2,2,2,1,2,2,5,5,5,2,1,2,2,2,1,2,2,1,1,3,5,2,1,2,3,1,99,NINGUNO,1,1,1,2,4,4,2,1,1,1,1,1,LA CUESTIÓN ECONÓMICA PORQUE ESTÁ MUY DIFÍCIL EL DINERO,4,2,5,1,1,5,1,1,5,5,3,1,9,4,99,3,5,5,3,1,4,99,99,2,2,2,2,2,2,3,1,4,4,3,2,2,1,1,99,2,1,1,2,2,2,2,2,5,4,4,1,4,5,2,QUE LOS POLICÍAS ABUSAN DE SU PODER,2,2,1,2,2,2,2,2,1,1,1,1,5,5,5,3,5,1,2,2,1,2,2,1,2,2,1,4,2,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,99,99,5,5,5,9,NARCOTRÁFICO,9,POBREZA,1,EL GOBIERNO Y LA DELINCUENCIA,3,99,120,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,24,11,4,11,1,3,99,2,12,1,1,1,1,3,59,47,18,31,46,0,201,AB,Alto,0,11,31,10,20,27,32,52,183,C+,Medio,1,0,0,0,6,2,1,1865.5035
53615824,9/4/21 9:17,2442,81.4,LOS MOLINOS,3,4,5,4,5,1,5,5,3,5,5,3,4,2,1,1,3,2,1,0,0,0,1,99,99,1,99,12,3,1,5,5,1,2,99,99,1,5,2,1,1,2,2,2,2,1,1,2,3,3,4,5,5,5,2,2,1,2,2,1,3,4,2,2,2,2,2,2,9,PARA INFORMARSE DE LO QUE PASA EN SU COLONIA,3,1,1,1,3,3,1,1,1,1,1,5,LA SEGURIDAD DE QUE ROBEN SU CASA,5,4,4,3,2,4,4,2,5,5,5,12,0,2,99,5,5,4,4,5,4,99,99,3,4,4,4,2,4,2,4,5,2,2,1,2,3,99,99,99,2,2,2,2,2,2,2,3,3,4,4,3,5,4,LA DESIGUALDAD ENTRE LAS PERSONAS,2,2,2,2,2,2,2,2,5,5,4,3,5,5,5,4,4,1,1,2,1,1,1,1,1,2,3,5,5,3,3,5,2,2,2,1,2,2,2,2,2,2,2,2,99,99,2,4,3,7,VALOR,12,MUCHA GENTE,11,LOS VALORES QUE SE ESTÁN PERDIENDO,3,99,30,1,2,2,2,2,2,2,5,2,3,2,4,4,4,3,4,3,4,3,3,2,1,99,15,4,5,8,99,5,3,2,5,1,1,1,1,2,43,47,0,31,31,17,152,C,Medio,8,11,31,10,20,0,0,38,118,C-,Bajo,0,0,0,0,6,1,1,1888.3198
53615982,9/4/21 9:21,2643,88.1,CHULAVISTA E1,3,4,5,3,5,1,5,5,1,1,1,4,1,0,0,2,2,3,0,0,0,1,0,99,99,2,99,99,99,2,1,3,2,3,99,99,3,5,1,2,2,1,1,2,1,1,1,2,5,5,5,5,5,1,5,5,5,3,5,2,5,1,1,1,1,1,2,2,99,99,1,1,3,3,3,4,1,1,1,1,2,5,LA INSEGURIDAD EN LAS CALLES,5,5,5,1,1,2,2,3,5,3,5,0,1,2,99,5,0,4,5,1,4,99,99,1,2,4,5,2,4,5,4,5,5,5,1,2,3,99,99,99,1,2,2,2,1,2,2,4,5,5,5,3,3,6,QUE NO AGARREN A LOS RATEROS Y NO HAGAN NADA,2,1,1,1,2,1,2,2,5,5,1,1,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,1,5,2,2,2,2,2,2,2,2,2,2,2,2,99,99,5,5,5,7,BONITO,4,COMIDA,2,LA INSEGURIDAD,1,99,999,2,2,2,2,2,1,2,4,1,1,1,1,3,1,2,2,2,2,2,2,1,2,99,18,1,5,1,0,2,2,1,8,1,1,1,1,3,10,24,0,31,46,12,111,D+,Baja,0,11,13,10,20,15,0,0,69,D,Bajo,0,0,4,0,4,1,2,2005.3120
53616128,9/4/21 9:24,1914,63.8,CHULAVISTA E1,3,4,4,4,5,1,4,5,3,4,4,3,2,3,1,1,1,4,1,0,0,0,0,99,99,1,99,16,2,2,4,99,1,6,99,99,99,3,2,2,2,1,2,2,1,1,1,1,4,4,2,5,1,1,5,5,2,1,2,1,5,3,4,1,2,2,5,0,99,99,1,1,1,1,4,4,4,3,1,1,1,5,LA DELINCUENCIA DE LA COLONIA,5,4,4,3,1,2,1,2,5,3,3,1,2,4,99,4,5,3,4,3,4,99,99,2,2,2,1,1,3,1,1,5,5,5,2,2,1,1,99,2,0,2,2,2,2,2,2,3,3,2,5,5,5,9,OPORTUNIDAD DE TRABAJO,2,1,2,1,2,1,2,2,1,4,3,3,4,3,4,3,4,1,2,2,2,2,2,2,2,1,3,2,5,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,99,99,4,4,4,12,TRÁFICO,3,CENTRO,10,LA SALIDA A ADOLF Y 8 DE JULIO,1,99,240,2,2,2,2,2,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,99,21,9,1,9,0,2,1,1,8,2,1,1,2,2,35,24,0,0,31,6,90,D+,Baja,0,0,13,10,20,15,0,38,96,D+,Bajo,1,0,3,1,4,2,1,1865.5035
53616284,9/4/21 9:28,3317,55.3,LOS PUESTOS,3,2,3,3,4,2,4,5,3,5,4,3,2,4,2,2,4,2,0,0,1,0,1,99,99,1,99,9,2,1,5,4,2,2,99,99,2,3,2,1,2,1,2,1,2,1,1,2,3,5,4,5,5,4,2,5,2,4,2,2,1,1,2,1,2,2,1,0,99,99,2,1,2,1,4,3,2,1,2,1,2,5,INSEGURIDAD EN GENERAL,4,4,4,4,2,5,2,2,5,5,4,20,99,2,99,4,5,4,4,2,4,99,99,2,2,1,2,2,3,2,2,3,4,3,3,1,2,1,99,1,1,1,2,2,1,2,1,4,2,2,4,5,4,3,LA DISCRIMINACIÓN EN GENERAL,2,2,1,2,2,1,2,2,3,4,4,4,5,5,5,5,3,1,1,2,2,2,1,1,1,1,3,2,3,3,2,3,1,1,2,2,2,2,1,2,2,1,1,1,1,POR SER ENFERMERA,4,4,4,7,BONITO,9,INSEGURO,2,LA INSEGURIDAD,1,99,90,2,1,2,2,2,2,2,1,1,3,1,1,1,2,2,2,1,1,2,2,1,2,99,28,8,5,4,2,8,4,1,15,1,1,1,1,5,31,24,37,31,61,23,184,C-,Baja,14,11,13,10,20,27,41,22,158,C+,Medio,0,0,0,0,3,3,2,1687.4526
53616490,9/4/21 9:35,2843,94.8,LOS PUESTOS,3,2,5,4,5,1,4,3,4,5,4,3,4,4,5,4,4,2,1,0,0,1,0,99,99,2,99,17,3,0,5,5,2,3,99,99,2,5,2,1,2,2,1,2,2,1,1,2,4,4,1,2,4,5,2,2,1,2,2,2,2,2,2,2,1,1,2,1,99,99,1,1,1,1,1,1,2,2,1,1,1,7,PELEAS ENTRE PAREJA,5,5,5,4,3,4,2,1,5,5,5,21,0,2,99,5,5,5,5,5,4,99,99,2,2,2,2,1,2,2,2,2,2,1,1,2,3,99,99,99,2,2,2,2,2,2,2,2,5,2,5,2,5,6,LA POLICÍA NO HACE NADA CUANDO HAY PELEAS,2,2,1,2,2,1,2,2,1,4,1,5,4,4,4,4,4,1,1,1,2,2,1,1,1,1,5,2,5,4,1,5,2,2,2,2,2,2,1,2,2,2,2,2,99,99,2,2,4,4,TACOS,1,TORTAS AHOGADAS,1,QUE NO QUITEN A LOS RATEROS,1,99,120,2,2,1,0,2,1,1,5,4,4,4,4,4,4,4,4,4,1,4,4,4,2,99,23,10,5,4,0,3,3,1,2,2,1,2,1,2,31,24,0,0,31,17,86,D,Baja,0,11,13,10,0,0,0,22,56,D,Bajo,0,0,0,0,3,2,2,2024.4618
53616551,9/4/21 9:36,3635,60.6,CHULAVISTA E1,3,4,4,3,5,2,5,5,1,5,2,3,4,5,1,1,1,1,1,0,0,0,1,99,99,1,99,14,4,1,5,5,2,2,99,99,3,1,1,1,2,1,1,1,1,1,1,1,4,2,2,1,4,4,2,2,4,2,2,1,1,1,1,1,1,1,4,4,7,MENSAJE,3,3,3,1,4,4,3,3,2,2,2,7,ACTITUD MISMA CAPRICHOSA,5,4,4,4,2,1,5,2,2,5,3,3,99,2,99,4,5,2,2,2,4,99,99,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,99,2,1,2,2,2,2,2,2,4,2,2,3,5,4,6,QUE LAS AUTORIDADES NO HAGAN JUSTICIA,2,2,2,2,2,2,2,2,1,4,1,1,1,4,1,4,3,1,1,1,2,1,1,1,1,1,2,1,4,3,2,5,2,2,2,2,2,2,2,2,2,2,2,2,99,99,5,5,5,2,MARIACHIS,3,PLAZA TAPATÍA,2,INSEGURIDAD PÚBLICA,4,99,30,2,2,2,2,2,2,2,2,2,5,2,2,2,3,2,3,3,2,3,3,2,1,99,22,11,5,9,3,3,3,1,11,1,1,1,1,3,35,24,37,31,46,17,173,C-,Baja,0,11,13,10,20,27,58,38,177,C+,Medio,1,0,0,0,4,2,1,1865.5035
53616669,9/4/21 9:40,1920,64.0,LOMAS DEL CAMICHÍN,3,2,4,4,5,2,5,5,3,3,4,2,1,1,2,1,1,1,0,0,0,0,1,99,99,2,99,16,99,1,4,5,2,1,99,99,3,5,1,1,1,2,2,1,2,1,1,2,2,2,4,4,4,5,2,4,2,1,1,4,1,4,2,1,1,1,2,1,99,99,1,1,1,1,3,4,4,2,2,2,2,4,"EL DINERO, FALTA DE TRABAJO POR CUESTIÓN DE PANDEMIA",3,5,5,4,2,1,1,1,2,2,3,21,0,2,99,5,4,3,3,4,4,99,99,1,3,4,5,3,5,5,2,5,5,5,2,1,3,99,99,99,1,1,2,2,1,1,1,1,2,2,2,5,5,10,NO LE DAN IMPORTANCIA A LOS FEMINICIDIOS,1,2,1,2,2,1,2,1,1,2,2,1,4,4,2,4,1,1,1,2,1,2,2,2,2,1,2,2,5,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,99,99,2,2,4,9,INSEGURIDAD,9,POBREZA,4,DESIGUALDAD,7,99,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,99,21,11,5,4,3,4,3,1,10,1,1,1,1,2,31,24,37,31,31,17,154,C,Medio,0,11,13,10,20,15,58,22,149,C,Medio,0,0,0,0,5,2,2,2024.4618
53617048,9/4/21 9:50,2532,84.4,LOMAS DEL CAMICHÍN,3,2,3,3,4,1,4,2,4,4,4,2,3,3,5,3,3,5,0,0,0,1,0,99,99,2,99,18,99,1,4,3,2,2,99,99,3,5,2,1,1,1,1,1,1,1,1,1,5,2,5,3,2,2,2,4,2,1,2,1,1,2,1,1,2,1,3,3,11,FACE,1,1,2,1,4,3,4,2,3,2,1,6,"AHORITA LA COMUNICACIÓN, EN LA FORMA DE CONVIVIR ENTRE NOSOTROS",5,5,5,5,2,5,2,2,5,2,5,12,0,3,99,5,5,4,4,4,4,99,99,2,2,3,3,5,4,2,2,5,4,2,1,2,3,99,99,99,2,2,2,2,2,2,2,3,2,2,5,1,3,3,LA DISCRIMINACIÓN SOBRE LO QUE ES EL GÉNERO,2,1,1,1,2,1,2,2,1,5,3,3,4,4,5,5,3,1,2,2,1,1,1,1,1,1,4,4,4,5,2,4,1,1,2,2,2,1,2,2,2,1,2,2,99,99,5,5,5,6,TURISMO,6,BAILES,2,INSEGURIDAD DE LA PROPIAS PERSONAS A SALIR E INSEGURIDAD DE NOSOTROS MISMOS,1,99,30,2,2,2,2,2,1,2,1,3,4,3,3,3,3,3,4,3,3,4,3,3,3,2,19,10,5,4,1,7,4,2,12,1,1,1,1,3,31,47,18,31,46,23,173,C+,Medio,14,11,31,10,20,27,32,22,167,C+,Medio,3,0,5,3,5,1,3,2005.3120
53617128,9/4/21 9:52,1389,46.3,LOS MOLINOS,3,4,5,5,5,1,5,5,1,1,5,3,2,4,1,2,2,2,1,0,0,0,1,99,99,1,99,15,1,1,5,5,2,1,99,99,1,5,1,2,1,1,1,2,1,1,1,1,5,5,5,5,5,5,5,4,4,3,4,4,4,4,3,1,1,3,5,1,99,99,1,1,1,1,4,4,2,2,1,1,1,1,DINERO,5,5,5,4,2,5,5,5,5,5,5,14,0,2,99,5,1,5,4,4,4,99,99,2,2,2,1,2,2,2,1,2,2,1,1,2,3,99,99,99,0,2,2,2,2,2,2,5,4,2,4,2,2,8,POBREZA,1,1,2,1,1,2,2,1,4,4,4,4,4,4,2,4,2,1,1,1,1,1,1,1,1,1,4,4,4,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,99,99,2,2,2,7,BONITA,1,TORTAS AHOGADAS,2,INSEGURIDAD,1,99,60,2,1,2,1,2,2,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,1,99,17,9,5,12,1,3,3,1,10,1,1,1,1,6,73,24,18,31,61,17,207,C+,Medio,0,11,13,10,20,15,32,52,153,C,Medio,0,0,0,0,6,1,1,1888.3198
