"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"1773759","14067611122000833000000000U0","15 DE MAYO","SECRETARIA DE EDUCACION PÚBLICA ","611122","Escuelas de educación primaria del sector público","11 a 30 personas","CALLE","ALCATRAZ","CALLE","JAZMIN","CALLE","AZUCENA","CALLE","BUGAMBILIA","151",,,,,,"COLONIA","LAS FLORES",,,,"48280","14","JALISCO","067","Puerto Vallarta","0028","Ixtapa","0637","036","3222813422",,,"Fijo","20.71976668","-105.19878734","2010-07"
"9007657","14067611621000421000000000U5","ACADEMIA DE ARTES MARCIALES MUA THAI VALLARTA",,"611621","Escuelas de deporte del sector privado","0 a 5 personas","CALLE","BRASIL","CALLE","SAN SALVADOR","CALLE","NICARAGUA","CALLE","BOLIVIA","1322",,,,,,"COLONIA","5 DE DICIEMBRE",,,,"48315","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0181","003","3222440238","AYONFRANCISCO4@GMAIL.COM",,"Fijo","20.6198347","-105.22913857","2019-11"
"7614497","14067711121000021000000000U3","ACADEMIA DE BAILE CAHUG STUDIO BY GALLERYE",,"611611","Escuelas de arte del sector privado","0 a 5 personas","CALLE","JILGUERO","CALLE","CANARIO","CALZADA","DE LAS TORRES","CALLE","CARDENAL","163","D",,,,,"COLONIA","LOS SAUCES",,,,"48328","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","171A","006","3227798685",,,"Fijo","20.64320923","-105.21566262","2019-11"
"8984625","14067611611000241000000000U8","ACADEMIA DE BAILE N MOVIMIENTO DYNAMIC DANCE Y FITNESS STUDIO",,"611611","Escuelas de arte del sector privado","0 a 5 personas","CALLE","ALDANACA","CALLE","MILAN","CALLE","VIENA","CALLE","BERNA","178",,,,,,"COLONIA","VERSALLES",,,,"48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1673","014","3221709589",,,"Fijo","20.63520523","-105.22664511","2019-11"
"1911071","14067611611000081000000000U8","ACADEMIA DE BALLET CLASICO PRO DANZA DE PUERTO VALLARTA",,"611611","Escuelas de arte del sector privado","0 a 5 personas","CALLE","ALDANACA","CALLE","MILAN","CALLE","VIENA","CALLE","BERNA","178","A","EDIFICIO SIN NOMBRE","PISO 2","1",,"COLONIA","VERSALLES",,,,"48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1673","014","3222254919",,,"Fijo","20.63520504","-105.22664523","2010-07"
"8699890","14067611511000251000000000U9","ACADEMIA DE BELLEZA LUNA CASTRO",,"611511","Escuelas del sector privado dedicadas a la enseñanza de oficios","0 a 5 personas","CALLE","20 DE NOVIEMBRE","CALLE","ABASOLO","CALLE","HIDALGO","CALLE","LÁZARO CÁRDENAS","189",,,,,,"COLONIA","PITILLAL CENTRO",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0073","020",,,,"Fijo","20.65323203","-105.21923339","2019-11"
"8691527","14067611511000191000000000U7","ACADEMIA DE BELLEZA MIAH",,"611511","Escuelas del sector privado dedicadas a la enseñanza de oficios","0 a 5 personas","CALLE","GENARO PADILLA","CALLE","REVOLUCION","CALLE","LAZARO CARDENAS","CALLE","ABASOLO","250","ALTOS",,,,,"COLONIA","PITILLAL CENTRO",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0552","010","3221046416",,,"Fijo","20.65492755","-105.21970396","2019-11"
"8984296","14067611611000221000000000U0","ACADEMIA DE MUSICA MEXICO",,"611611","Escuelas de arte del sector privado","0 a 5 personas","AVENIDA","FRANCIA","CALLE","PALM SPRINGS","CALLE","YUGOSLAVIA","CALLE","HAMBURGO","199","D3",,,,,"COLONIA","VERSALLES",,,,"48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0302","009",,,,"Fijo","20.63711956","-105.22736934","2019-11"
"1778131","14067465211000361010000000U0","ACADEMIA JOHNNY BARBER",,"611511","Escuelas del sector privado dedicadas a la enseñanza de oficios","0 a 5 personas","CALLE","PASEO VENA","CALLE","JUAN ESCUTIA","CALLE","JUAN ESCUTIA","CALLE","MANATÍ","137",,,,"0",,"COLONIA","LAS GAVIOTAS",,,,"49328","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2563","018",,,"WWW.ACADEMIAJOHNNYBARBERCOM","Fijo","20.63244425","-105.22202243","2014-12"
"1777791","14067713943000641010000000U3","ACADEMIA SALSA CLASS VALLARTA",,"611611","Escuelas de arte del sector privado","0 a 5 personas","CALLE","MEZQUITAN","ANDADOR","PLAZUELA DE ATEMAJAC","CALLE","MEXICALTZINGO","CALLE","LA MERCED","169","A",,,"0",,"COLONIA","BARRIO SANTAMARIA",,,,"48348","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0849","013",,"ACADEMIA_SALSACLAS@HOTMAIL.COM",,"Fijo","20.62863085","-105.22276254","2014-12"
