"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"1911384","14067624191000222000000000S6","AA GRUPO FORTALEZA Y ESPERANZA","CENTRAL MEXICANA DE SERVICIOS GENERALES AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","CALLE","DOLORES DEL RIO","CALLE","AGUSTIN LARA","CALLE","SARA GARCIA","CALLE","JOAQUÍN PARDAVÉ","349",,,,,"51","COLONIA","LA MODERNA",,,,"48344","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1777","006",,,,"Fijo","20.63831561","-105.20633644","2010-07"
"1777979","14067624191000571000000000U6","AA GRUPO VALLARTA 73","CENTRAL MEXICANA DE SERVICIOS GENERALES DE ALCOHOLICOS ANONIMOS AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","AVENIDA","FRANCISCO VILLA","CALLE","SIERRA PIRINEOS","CALLE","SIERRA ACONCAGUA","CALLE","RAFAEL OSUNA","373",,,,"4",,"COLONIA","OLIMPICA",,,,"48330","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0105","004",,,,"Fijo","20.62900988","-105.22786641","2014-12"
"8606592","14067621341000231000000000S1","AD REHAB",,"621341","Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje","0 a 5 personas","CALLE","ESPAÑA","CALLE","ROMA","CALLE","NIZA","CALLE","PALM SPRINGS","224",,,,"0",,"COLONIA","DIAZ ORDAZ",,,,"48310","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0302","006","3221430566",,,"Fijo","20.63978337","-105.22859054","2019-11"
"8984588","14067621115000091000000000U7","ADMINISTRACION TORRE MEDICA NEOMEDICA",,"621115","Clínicas de consultorios médicos del sector privado","0 a 5 personas","AVENIDA","LOS TULES","CALLE","ESPAÑA","CALLE","RIO AMARILLO","CALLE","MELCHOR OCAMPO","160",,,,"0",,"COLONIA","LOS TABACHINES",,,,"48312","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2582","035",,"COVARRUBIASCHAVEZ@HOTMAIL.COM",,"Fijo","20.6417707","-105.23148149","2019-11"
"6436502","14067622311000031000000000U7","AH CLINICA DENTAL",,"621211","Consultorios dentales del sector privado","0 a 5 personas","AVENIDA","FRANCISCO MEDINA ASCENCIO","CALLE","DAVID ALFARO SIQUEIROS","PROLONGACION","PABLO PICASSO","CALLE","CLEMENTE OROZCO","1989",,,,,"A60","COLONIA","LAS GLORIAS",,,,"48333","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1669","019","3221378146","AHCLINICADENTAL@GMAIL.COM",,"Fijo","20.63432668","-105.23061526","2010-07"
"1929960","14067624222000013000000000U2","ALBERGUE REGIONAL VIDA NUEVA","SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL MUNICIPIO DE PUERTO VALLARTA ","623992","Orfanatos y otras residencias de asistencia social del sector público","11 a 30 personas","CALLE","BOLIVIA","CALLE","CUBA","CALLE","21 DE MARZO","CALLE","REPÚBLICA DEL ECUADOR","427",,,,,,"COLONIA","COAPINOLE",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2281","012","3222997215",,,"Fijo","20.65871064","-105.20587767","2010-07"
"8983611","14067624191000853000000000S8","ALCOHOLICOS  ANONIMOS DISTRITO DOS",,"624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","11 a 30 personas","CALLE","FRANCISCO I. MADERO","CALLE","J. ASCENCIO VILLASEÑOR","CALLE","PABLO FRANCO","CALLE","ALDAMA","696",,,,,,"COLONIA","LOMA BONITA",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","1090","001",,,,"Fijo","20.66328859","-105.2120017","2019-11"
"1775799","14067624191000371000000000S1","ALCOHOLICOS ANONIMOS","CENTRAL MEXICANA DE SERVICIOS GENERALES DE ALCOHOLICOS ANONIMOS ITEGRANTES DE LOS SERVICIOS MUNDIALES AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","CALLE","INDEPENDENCIA","CALLE","EMILIANO ZAPATA","CALLE","JUAREZ","CALLE","20 DE NOVIEMBRE","217",,,,"0","215-9","COLONIA","CENTRO PITILLAL",,,,"48290","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0073","001",,,"WWW.AA.ORG.COM","Fijo","20.65206591","-105.21849333","2014-12"
"1775053","14067624191000611000000000U0","ALCOHOLICOS ANONIMOS","ALCOHOLICOS ANONIM0S AC","624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","0 a 5 personas","AVENIDA","PRISCILIANO SANCHEZ","PRIVADA","NINGUNO","CALLE","NINGUNO","PRIVADA","TUCANES","500","L9",,,,,"FRACCIONAMIENTO","VALLARTA 500",,,,"48315","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","0459","013",,,,"Fijo","20.65555333","-105.22725483","2014-12"
"8361291","14067624191001052000000000U6","ALCOHOLICOS ANONIMOS",,"624191","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones","6 a 10 personas","CALLE","FRANCISCO I. MADERO","CALLE","ALDAMA","AVENIDA","DE LOS POETAS","AVENIDA","NINGUNO","1030",,,,,,"COLONIA","VILLAS DEL REAL",,,,"48313","14","JALISCO","067","Puerto Vallarta","0001","Puerto Vallarta","2629","007",,,,"Fijo","20.67008518","-105.21013357","2019-11"
